STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,HEALTH_PROF,Health profession,WORKER_STATUS,Worker status,HEALTH_PROF_ACTIVITY_STATUS,Health profession activity status,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,OBS_STATUS4,Observation status 4,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,JPN,Japan,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,13.12,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,JPN,Japan,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,13.42,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,JPN,Japan,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,13.66,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,JPN,Japan,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,13.65,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,KOR,Korea,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,8.68,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,KOR,Korea,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,9.29,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,KOR,Korea,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,9.66,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,KOR,Korea,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,10.06,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,LVA,Latvia,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,6.55,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,LVA,Latvia,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,6.87,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,LVA,Latvia,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,6.91,,,,,,,,,,,,,,,
